Symbol,Name,Sector,MarketCap_BCHF,SharePrice_CHF,Volume_Shares,EPS_CHF,DivYield_Prct,Revenue_BCHF,RevenueGrowth_Prct,GrossProfit_BCHF,OperatingIncome_BCHF,EBITDA_BCHF,EnterpriseValue_BCHF
LONN,LONZA N,Health technology,38.787,538.4,174805,8.14,0.74,6.696,14.48,1.956,1.433,2.064,40.628
LUKN,LUZERNER KB N,Finance,3.117,62.9,21985,5.72,3.9699999999999998,1.274,31.28,,0.287819,,20.356
MOBN,MOBIMO N,Finance,1.956,269.5,4119,10.75,3.71,0.247492,28.59,0.166896,0.127167,0.129471,3.595
MOVE,MEDACTA GROUP N,Health technology,2.464,123.2,5219,2.7,0.44999999999999996,0.52237,25.509999999999998,0.354838,0.073921,0.133708,2.67
NEAG,NATURENERGIE N,Utilities,1.243,37.6,1353,3.36,2.39,1.818,27.83,0.123462,0.123462,0.180746,1.258
NESN,NESTLE N,Consumer non-durables,219.036,85.2,3150000,4.27,3.52,91.75,0.9199999999999999,42.804,15.968,19.469,279.195
NOVN,NOVARTIS N,Health technology,193.972,97.93,3000000,6.97,3.37,42.204,-13.14,30.934,12.193,18.55,212.591
OERL,OC OERLIKON N,Process industries,1.48,4.55,290806,-0.02,4.3999999999999995,2.422,-16.05,0.609,0.124,0.332,2.7
PGHN,PARTNERS GROUP N,Finance,33.4,1269.0,37293,36.7,3.0700000000000003,2.084,-21.66,1.828,1.218,1.26,35.076
PSPN,PSP N,Finance,5.683,123.9,62912,6.26,3.11,0.372059,1.83,0.338944,0.308899,0.309976,9.094
REHN,ROMANDE ENERGIE N,Utilities,1.348,47.5,1154,5.4,3.0300000000000002,0.864832,30.73,0.139352,0.063045,0.150995,1.558
RO,ROCHE I,Health technology,219.982,292.0,20813,13.23,3.29,58.785,-8.69,42.873,16.464,19.842,249.543
SCHN,SCHINDLER N,Producer manufacturing,26.357,241.5,20778,8.37,1.66,11.365,2.33,3.566,1.211,1.558,24.859
SCMN,SWISSCOM N,Communications,28.62,552.5,68400,32.8,3.9800000000000004,11.076,0.06999999999999999,3.697,2.481,4.901,36.926
SDZ,SANDOZ GROUP N,Health technology,15.176,35.21,666597,,1.28,,,,,,18.541
SFSN,SFS GROUP N,Producer manufacturing,5.153,132.6,14826,6.47,1.8900000000000001,3.043,40.8,0.7666,0.3495,0.4787,5.628
SFZN,SIEGFRIED N,Health technology,4.936,1150.0,3609,29.81,0.31,1.284,5.08,0.332245,0.178881,0.26454199999999994,5.341
SGKN,ST GALLER KB N,Finance,2.499,417.5,3722,33.28,4.55,1.029,79.59,,0.234185,,6.671
SGSN,SGS N,Commercial services,17.745,95.18,743962,2.95,3.36,6.673,1.63,2.381,0.888,1.426,20.858
SIGN,SIG GROUP N,Producer manufacturing,7.076,18.51,1169000,0.69,2.59,3.131,33.300000000000004,0.711451,0.334891,0.736104,9.465
SIKA,SIKA N,Process industries,45.185,281.6,230252,7.65,1.17,11.728,16.650000000000002,3.734,1.716,2.255,50.964
SKAN,SKAN N,Health technology,1.781,79.2,4294,1.43,0.44,0.344011,35.0,0.242286,0.040539,0.053056,1.744
SLHN,SWISS LIFE HOLDING AG N,Finance,20.281,711.4,96791,37.5,4.64,15.414,-26.9,,1.439,,35.28
SOON,SONOVA N,Health technology,17.424,302.8,168372,10.05,1.4200000000000002,3.627,7.82,2.564,0.6942,0.9404,18.725
SPSN,SWISS PRIME SITE N,Finance,7.371,95.35,88435,2.25,3.5700000000000003,0.668321,-11.41,0.512812,0.402673,0.40874,13.277
SQN,SWISSQUOTE N,Finance,4.447,300.2,88532,17.06,1.43,0.649583,38.53,0.541473,0.303,0.343344,-0.441753
SRAIL,STADLER RAIL N,Producer manufacturing,2.695,26.95,180468,1.23,3.34,3.613,-2.06,0.402082,0.170662,0.291111,2.827
SREN,SWISS RE N,Finance,33.956,117.5,774797,11.18,5.29,44.442,2.85,,4.792,,43.156
STMN,STRAUMANN N,Health technology,22.146,138.9,433853,1.7,0.61,2.468,11.44,1.772,0.440866,0.578554,22.27
SUN,SULZER N,Producer manufacturing,4.676,138.4,31146,7.03,2.71,3.379,14.6,1.141,0.3569,0.4645,4.91
SWON,SOFTWAREONE N,Distribution services,2.325,15.04,176735,0.1,2.39,1.034,-87.37,0.268457,0.173757,0.243538,2.572
TECN,TECAN GROUP AG N,Health technology,3.644,284.2,52215,7.89,1.06,1.0,-7.11,0.346708,0.090808,0.162439,3.616
TEMN,TEMENOS N,Technology services,4.277,59.4,196076,1.64,2.02,0.89918,0.11,0.5305320000000001,0.201526,0.317356,4.791
TXGN,TX GROUP N,Consumer services,1.509,142.4,1898,3.34,1.4000000000000001,0.9819,3.84,0.2731,0.0513,0.1984,1.752
UBSG,UBS GROUP N,Finance,84.137,26.25,4195000,0.16,2.4299999999999997,77.49,76.47,,2.34,,210.679
UHR,SWATCH GROUP I,Consumer durables,9.285,180.15,411987,9.99,3.61,7.314,-2.91,3.202,0.709,1.109,7.91
VACN,VAT GROUP N,Producer manufacturing,12.899,430.1,48815,6.67,1.4500000000000002,0.881171,-14.76,0.295559,0.230692,0.273839,13.13
VAHN,VAUDOISE ASSU N,Finance,1.359,465.0,410,49.61,4.73,1.506,8.290000000000001,,0.082876,,1.531
VATN,VALIANT N,Finance,1.586,100.4,14580,9.39,5.48,0.849983,32.87,,0.178493,,8.441
VONN,VONTOBEL N,Finance,3.131,55.8,35448,3.81,5.38,1.762,-4.02,,0.292,,15.745
VZN,VZ HOLDING N,Finance,5.249,133.6,26991,5.13,1.68,0.562676,35.6,0.497471,0.236883,0.260803,4.085
WKBN,WALLISER KB N,Finance,1.784,113.5,634,5.79,3.39,0.435876,64.19,,0.109671,,5.15
YPSN,YPSOMED HLDG,Health technology,5.636,413.5,24134,5.74,0.48,0.548457,17.990000000000002,0.189054,0.081063,0.155929,5.818
ZUGER,ZUGER KB N,Finance,2.405,8360.0,37,424.52,2.63,0.470132,84.16,,0.13665,,4.1
ZURN,ZURICH INSURANCE N,Finance,74.044,512.8,289909,29.83,5.07,65.416,49.15,,18.269,,88.361
