Symbol,Name,Sector,MarketCap_BCHF,SharePrice_CHF,Volume_Shares,EPS_CHF,DivYield_Prct,Revenue_BCHF,RevenueGrowth_Prct,GrossProfit_BCHF,OperatingIncome_BCHF,EBITDA_BCHF,EnterpriseValue_BCHF
PSPN,PSP N,Finance,5.348,116.2,3203,5.05,3.2800000000000002,0.376375,6.660000000000001,0.333677,0.30344,0.304564,8.637
REHN,ROMANDE ENERGIE N,Utilities,1.55,54.6,175,8.28,2.6599999999999997,0.918177,50.01,0.176233,0.101812,0.191865,1.676
RO,ROCHE I,Health technology,221.279,295.6,2204,14.3,3.16,58.716,-6.5,42.898,16.349,19.823,245.499
SCHN,SCHINDLER N,Producer manufacturing,24.559,226.0,492,8.37,1.76,11.365,2.33,3.566,1.211,1.558,23.061
SCMN,SWISSCOM N,Communications,27.61,530.5,2910,33.28,4.12,11.028,-0.57,3.767,2.557,4.97,34.941
SDZ,SANDOZ GROUP N,Health technology,14.926,35.08,46762,,1.3,,,,,,14.926
SENS,SENSIRION N,Electronic technology,1.259,80.9,79,-0.42,0.0,0.233167,-18.89,0.121804,-0.005832,0.010118,1.186
SFSN,SFS GROUP N,Producer manufacturing,4.997,127.8,331,6.47,1.94,3.043,40.8,0.7666,0.3495,0.4787,5.472
SFZN,SIEGFRIED N,Health technology,4.335,1006.0,33,26.22,0.36,1.271,15.340000000000002,0.320408,0.167082,0.248435,4.804
SGKN,ST GALLER KB N,Finance,2.616,436.5,87,34.63,4.36,0.956891,64.32,,0.242726,,6.122
SGSN,SGS N,Commercial services,15.793,89.3,206920,2.99,3.83,6.622,3.39,2.361,0.876,1.421,18.701
SIGN,SIG GROUP N,Producer manufacturing,6.671,17.46,6195,0.61,2.7,3.136,40.81,0.739322,0.362158,0.762554,8.689
SIKA,SIKA N,Process industries,42.665,265.6,9002,6.65,1.25,11.239,21.47,3.533,1.638,2.123,47.868
SKAN,SKAN N,Health technology,1.715,75.8,501,1.17,0.45999999999999996,0.32002,35.620000000000005,0.22817,0.03775,0.050144,1.644
SLHN,SWISS LIFE HOLDING AG N,Finance,19.255,671.6,1879,37.01,4.88,11.876,-44.81,,3.123,,32.692
SOON,SONOVA N,Health technology,15.427,267.3,3408,10.05,1.6199999999999999,3.627,7.82,2.564,0.6942,0.9404,16.728
SPSN,SWISS PRIME SITE N,Finance,6.78,87.2,849,1.11,3.88,0.658578,-11.59,0.498828,0.389154,0.394808,12.44
SQN,SWISSQUOTE N,Finance,4.145,276.4,1444,14.55,1.54,0.589044,10.870000000000001,0.49288,0.26041899999999996,0.297921,-0.55719
SRAIL,STADLER RAIL N,Producer manufacturing,2.645,26.5,1706,1.24,3.4000000000000004,3.608,-0.72,0.404638,0.187545,0.299428,2.275
SREN,SWISS RE N,Finance,30.965,106.8,12229,9.41,5.86,44.413,5.6000000000000005,,4.124,,39.929
STMN,STRAUMANN N,Health technology,18.455,115.35,9593,1.54,0.73,2.412,19.28,1.773,0.403897,0.53413,18.49
SUN,SULZER N,Producer manufacturing,4.609,134.0,1501,6.66,2.76,3.282,4.01,1.085,0.3204,0.4284,4.784
SWON,SOFTWAREONE N,Distribution services,2.686,17.28,1499,0.14,2.09,1.011,-87.21,0.26126,0.174039,0.239982,2.408
TECN,TECAN GROUP AG N,Health technology,4.101,320.4,815,10.3,0.9400000000000001,1.074,13.5,0.390466,0.12909299999999999,0.199887,4.047
TEMN,TEMENOS N,Technology services,4.652,61.65,163454,1.67,1.82,0.889327,-2.62,0.495984,0.193939,0.310754,5.164
TXGN,TX GROUP N,Consumer services,1.682,158.8,3284,2.3,1.27,0.9809,2.63,0.2689,0.0488,0.1888,1.915
UBSG,UBS GROUP N,Finance,87.855,27.14,207507,7.94,2.33,72.042,89.05,,1.539,,211.857
UHR,SWATCH GROUP I,Consumer durables,9.157,177.0,10740,16.75,3.63,7.888,7.86,3.771,1.191,1.581,7.23
VACN,VAT GROUP N,Producer manufacturing,13.436,442.1,6337,6.67,1.41,0.881171,-14.76,0.295559,0.230692,0.273839,13.667
VAHN,VAUDOISE ASSU N,Finance,1.301,445.0,357,45.76,4.95,1.426,2.1,,0.069896,,1.463
VATN,VALIANT N,Finance,1.668,105.6,35,9.26,5.220000000000001,0.8268,46.92,,0.175269,,8.372
VONN,VONTOBEL N,Finance,3.277,58.2,689,3.75,5.09,1.7,-12.72,,0.26289999999999997,,14.037
VZN,VZ HOLDING N,Finance,4.613,117.4,4014,4.74,1.9,0.5197480000000001,32.56,0.465102,0.218927,0.242019,3.494
WKBN,WALLISER KB N,Finance,1.784,113.5,316,5.76,3.39,0.391776,48.84,,0.108627,,5.385
YPSN,YPSOMED HLDG,Health technology,5.425,401.0,248,5.74,0.33,0.548457,17.990000000000002,0.189054,0.081063,0.155929,5.607
ZUGER,ZUGER KB N,Finance,2.376,8260.0,19,424.52,2.64,0.470132,84.16,,0.13665,,4.071
ZURN,ZURICH INSURANCE N,Finance,68.572,472.4,7180,26.77,5.489999999999999,33.01,-48.11,,-8.889,,83.444
